"term","freq","s1","s2","s3","s4","prob"
"thanks for the follow",94,"thanks","for","the","follow",0.291021671826625
"the rest of the",76,"the","rest","of","the",0.558823529411765
"for the first time",64,"for","the","first","time",0.780487804878049
"at the end of",60,"at","the","end","of",0.789473684210526
"the end of the",59,"the","end","of","the",0.491666666666667
"at the same time",50,"at","the","same","time",0.862068965517241
"in the middle of",50,"in","the","middle","of",0.78125
"is one of the",49,"is","one","of","the",0.453703703703704
"when it comes to",49,"when","it","comes","to",0.875
"can't wait to see",47,"can't","wait","to","see",0.419642857142857
"thank you so much",46,"thank","you","so","much",0.938775510204082
"one of the most",44,"one","of","the","most",0.134146341463415
"thank you for the",44,"thank","you","for","the",0.318840579710145
"thanks for the rt",44,"thanks","for","the","rt",0.136222910216718
"hope to see you",41,"hope","to","see","you",0.836734693877551
"i am going to",41,"i","am","going","to",0.931818181818182
"if you want to",40,"if","you","want","to",0.606060606060606
"going to be a",39,"going","to","be","a",0.207446808510638
"is going to be",39,"is","going","to","be",0.39
"one of the best",39,"one","of","the","best",0.11890243902439
"to be able to",36,"to","be","able","to",1
"i would like to",35,"i","would","like","to",0.813953488372093
"i don't want to",33,"i","don't","want","to",0.75
"i can't wait to",32,"i","can't","wait","to",0.507936507936508
"one of my favorite",32,"one","of","my","favorite",0.238805970149254
"on my way to",28,"on","my","way","to",0.717948717948718
"i would love to",27,"i","would","love","to",0.72972972972973
"let me know if",27,"let","me","know","if",0.3
"the middle of the",27,"the","middle","of","the",0.482142857142857
"a bit of a",26,"a","bit","of","a",0.325
"as well as the",25,"as","well","as","the",0.193798449612403
"for the rest of",25,"for","the","rest","of",0.961538461538462
"i wish i could",25,"i","wish","i","could",0.316455696202532
"is one of my",25,"is","one","of","my",0.231481481481481
"it's going to be",25,"it's","going","to","be",0.78125
"thanks so much for",25,"thanks","so","much","for",0.480769230769231
"the first time in",25,"the","first","time","in",0.257731958762887
"have a great weekend",24,"have","a","great","weekend",0.282352941176471
"i was going to",24,"i","was","going","to",0.774193548387097
"are you going to",23,"are","you","going","to",0.821428571428571
"as much as i",23,"as","much","as","i",0.365079365079365
"i don't know what",23,"i","don't","know","what",0.237113402061856
"have a great day",22,"have","a","great","day",0.258823529411765
"i have no idea",22,"i","have","no","idea",0.34375
"i look forward to",22,"i","look","forward","to",1
"i need to get",22,"i","need","to","get",0.145695364238411
"i want to be",22,"i","want","to","be",0.116402116402116
"was one of the",22,"was","one","of","the",0.594594594594595
"what do you think",22,"what","do","you","think",0.293333333333333
"i thought it was",21,"i","thought","it","was",0.583333333333333
"on the other hand",21,"on","the","other","hand",0.446808510638298
"to go to the",21,"to","go","to","the",0.214285714285714
"will be able to",21,"will","be","able","to",0.954545454545455
"for a long time",20,"for","a","long","time",0.8
"me know if you",20,"me","know","if","you",0.740740740740741
"the top of the",20,"the","top","of","the",0.5
"this is one of",20,"this","is","one","of",0.952380952380952
"a couple of weeks",19,"a","couple","of","weeks",0.134751773049645
"i was able to",19,"i","was","able","to",0.95
"i wish i had",19,"i","wish","i","had",0.240506329113924
"if you have a",19,"if","you","have","a",0.246753246753247
"in front of the",19,"in","front","of","the",0.253333333333333
"in the first place",19,"in","the","first","place",0.365384615384615
"that awkward moment when",19,"that","awkward","moment","when",0.826086956521739
"the fact that i",19,"the","fact","that","i",0.168141592920354
"a great way to",18,"a","great","way","to",0.9
"a lot of people",18,"a","lot","of","people",0.0671641791044776
"for a couple of",18,"for","a","couple","of",0.782608695652174
"the italy lakes holidays",18,"the","italy","lakes","holidays",1
"and i have a",17,"and","i","have","a",0.26984126984127
"at the top of",17,"at","the","top","of",0.62962962962963
"be one of the",17,"be","one","of","the",0.68
"had a great time",17,"had","a","great","time",0.386363636363636
"i feel like i",17,"i","feel","like","i",0.177083333333333
"as soon as i",16,"as","soon","as","i",0.313725490196078
"at the beginning of",16,"at","the","beginning","of",0.842105263157895
"can't wait for the",16,"can't","wait","for","the",0.262295081967213
"hope all is well",16,"hope","all","is","well",0.842105263157895
"i dont want to",16,"i","dont","want","to",0.8
"in front of me",16,"in","front","of","me",0.213333333333333
"it was a good",16,"it","was","a","good",0.0987654320987654
"looking forward to the",16,"looking","forward","to","the",0.0919540229885057
"so much for the",16,"so","much","for","the",0.30188679245283
"the best way to",16,"the","best","way","to",0.842105263157895
"the bottom of the",16,"the","bottom","of","the",0.8
"the rest of my",16,"the","rest","of","my",0.117647058823529
"when i was in",16,"when","i","was","in",0.163265306122449
"be a part of",15,"be","a","part","of",1
"have a lot of",15,"have","a","lot","of",0.75
"i have to say",15,"i","have","to","say",0.107142857142857
"i love you too",15,"i","love","you","too",0.107142857142857
"i thought i was",15,"i","thought","i","was",0.375
"i want to go",15,"i","want","to","go",0.0793650793650794
